expression_id	physical_unique_source_occurrences	canonical_projected_occurrences	normalized_tex
expr-041224a87d676034	1	1	\Mod[L](L){!E}
expr-06ba21d50df1893a	1	1	\Struct{M}_n \models !E
expr-07e957df44a6a893	1	1	q \subseteq p
expr-0c370aa793b02aac	6	6	Q'
expr-0c5964563a68be62	1	1	\mathbf{c}
expr-0ea1e3755dad0c75	3	3	!D_2
expr-0edf20f726f4680d	2	2	\Mod(L){!E} = \Mod(L){!D}
expr-11eddd97db8d14ba	5	5	\Struct{N} \models_L !E
expr-1336081d34027f81	1	1	\Lang{L} \cup \{ P, Q\}
expr-13bcf9d25c75255b	3	3	!G
expr-1540c1218dfc9686	2	2	\tuple{L,\models_L}
expr-16eaddd7733198ca	6	6	\Struct{N}^*
expr-19f499db43548864	1	1	!F \in L(\Lang{L} \cup \{R,c_1,\ldots,c_n\})
expr-1a387be222bd462f	10	10	\tuple{L, \models_L}
expr-1b16b1df538ba12d	467	478	n
expr-1bf62b2e6a844b50	1	1	I(\mathbf{a}, \mathbf{b})
expr-1d237c90ea65cd24	1	1	\Struct{N}_0 \not\models_L !E
expr-20c747571b26cf2b	1	1	\Domain{N} = \Setabs{a\in \Domain{M}}{\Assign{R}{M}(a, b_1, \dots, b_n)}
expr-21bc9c309ea814fc	1	1	\Mod(L){!E}
expr-27bb456fe64613ab	1	1	\Domain{M_{n^*}}
expr-2ceb4df5993cba2b	7	7	c_1
expr-2d711642b726b044	501	497	x
expr-2e7d2c03a9507ae2	73	71	c
expr-33a9c96304bcc292	64	65	\Domain{M}
expr-342e5ae4cc90bd9b	5	5	\Struct{M}_n
expr-343f3ea0d990abaf	1	1	\Struct{M} \models_L !F
expr-398cc09eb70bbcd2	8	8	!E \in L(\Lang{L})
expr-39e8d862f0ff3682	1	1	\Struct{M} \simeq \Struct{N}
expr-3d8968823571b2dd	3	3	\models_L
expr-3f4c41b843227280	1	1	b_1,
expr-428890bacf44ce4f	11	11	\Lang{L'}
expr-42b8f19ae63d24a4	233	251	\Struct{M}
expr-4605a2de3f74e147	2	2	\Struct{M}_0
expr-4727793a5a82f07c	1	1	\mathbf{a} = a_1, \dots a_n
expr-475b56cd695e8364	1	1	p \in \mathcal{I}
expr-4ac96c6d047aa8aa	5	5	L(\Lang{L})
expr-4ae81572f06e1b88	44	44	Q
expr-4b68ab3847feda7d	108	108	X
expr-4d05672a6bd868b6	5	5	\Domain{N}
expr-4e2719493601b17f	2	2	J(n, \mathbf{a}, \mathbf{b})
expr-51957fad06b1d95d	1	1	\Struct{M_{n^*}} \models_L !E
expr-52274a3b7cb9d962	1	1	\mathbf{a}, \mathbf{c} \in \Domain{M}^{<\omega}
expr-5364480bb54d23f0	3	3	\Struct{N}_n
expr-558a77c65edfbe0c	3	3	b_n
expr-568f9a89f7fd38f8	2	2	\tuple{L_1, \models_{L_1}} \leq \tuple{L_2, \models_{L_2}}
expr-5713cebc55c46f9a	1	1	\Lang{L'} = \Lang{L} \setminus \{c\}
expr-57885e4c75965b23	626	824	\Gamma
expr-58ec6f41c57dedff	2	2	\tuple{L_1, \models_{L_1}}
expr-5afa20230f875253	42	42	n \in \Nat
expr-5b63a60fdb499c3a	110	110	\Struct{N}
expr-5c37345158ceafa2	2	2	c'
expr-5c62e091b8c0565f	122	122	P
expr-5c958bf6fd5e2c8d	1	1	\tuple{L_2, \models_{L_2}} \leq \tuple{L_1, \models_{L_1}}
expr-5ddb158cde8e2d0e	3	3	\Struct{M} \simeq_p \Struct{N}
expr-5fadfbd4ca939840	13	14	!E
expr-63456f179ad59ff8	1	1	\Domain{M}^*
expr-6448f48fc5887d48	1	1	J(n^*-k, \mathbf{a}, \mathbf{b})
expr-65fadd6de486ab5c	1	1	\Expan{M}{X, b_1, \ldots, b_n} \models_L !F \text{ if and only if } \Struct{N} \models_L !E,
expr-6698cf14241bc1bf	1	1	\Struct{M_{n^*}} \simeq_p \Struct{N_{n^*}}
expr-68a9d5a8339e4038	10	10	c_n
expr-68ceedec7f42fede	2	2	\Struct{N_{n^*}}
expr-6a7c4ed376415ed1	1	1	\Struct{M}_n \models_L !E
expr-6b0b0cce2607f0e0	1	1	!D_\Struct{N}
expr-6b96060b8f40f87b	1	1	\Domain{N_{n^*}}
expr-6d0abed06b5f13ea	2	2	!F \in L(\Lang{L})
expr-6da3583735a2a7a0	1	1	T'
expr-6da43b944e494e88	9	9	J
expr-6e8100b8f072619c	1	1	\Struct{N_{n^*}} \not\models_L !E
expr-6ea00ba5eac9dc0b	2	2	\Lang{L}'
expr-6ebf4d93040b75ca	1	1	\tuple{F, \models} \leq \tuple{L, \models_{L}}
expr-6f062dbc76f1e362	1	1	\QuantRank{!E} \le n
expr-7036002389468cf1	1	1	\Domain{N}*
expr-72dfcfb0c470ac25	10	10	L
expr-78681e74c6b7c795	1	1	\mathbf{a}, \mathbf{b}, \mathbf{c} \in \Domain{M}^{<\omega}
expr-7997c4f3be17c7ce	1	1	\models
expr-79d4c7f9c8579543	117	115	\Nat
expr-7a03384e6e8b8519	20	20	\le
expr-7eae821ae4a8e699	10	10	\mathbf{a}
expr-8238c028f61fc0f7	1065	1252	!A
expr-8254c329a92850f6	120	120	k
expr-8487ac0d5d0e0baa	1	1	\Mod[L](L_1){!E} = \Mod[L](L_2){!F}
expr-86a3c627c41e4a04	1	1	S(\mathbf{a}, \mathbf{b}, \mathbf{c})
expr-89add2d62a2bcafe	1	1	\Struct{N}_n \not\models !E
expr-8b7c6a4377379ef5	2	2	\Struct{N} \models_L !D
expr-8c2574892063f995	201	196	R
expr-8de0b3c47f112c59	156	161	S
expr-8fd0b5c24f4f7eb3	8	8	\mathbf{b}
expr-9075723bf690f4e2	3	3	\mathcal{I}
expr-930f5c4baa5c7864	13	12	\lforall
expr-9312a3da019247ac	1	1	\Struct{N} \models !D_\Struct{N}
expr-93c496310a0d1ef3	1	1	\lforall[x][!F]
expr-94a202c8b76d46aa	1	1	\Expan{M}{X, b_1, \ldots, b_n}
expr-95f85ca7e31768f1	2	2	!F
expr-980ea4bd1d2d3688	1	1	\Domain{M_n} & = \Setabs{a \in \Domain{M}}{R(a, n)}; & \Domain{N_n} & = \Setabs{a \in \Domain{N}}{S(a,n)}; \\ \Domain{M}^{<\omega}_n & = \Setabs{a \in \Domain{M}^{<\omega}}{R(a,n)}; & \Domain{N}^{<\omega}_n & = \Setabs{a \in \Domain{N}^{<\omega}}{S(a,n)}.
expr-9fe51780ae6b2b6c	1	1	\tuple{\mathbf{a}, \mathbf{b}} \in \mathcal{I}
expr-a1188a9bd7b35397	1	1	\Struct{M}_0 \models_L !E
expr-a25d9c9866c45520	32	55	\Gamma_0 \subseteq \Gamma
expr-a2b0fc056ee9f397	1	1	X \subseteq M^{n+1}
expr-a2eefc04ccc51318	4	4	\Domain{M}^{<\omega}
expr-a43e0d8c06476226	2	2	S'
expr-a67dd557513ba88e	2	2	\Struct{N} \models !D_{\Struct{M}}
expr-a83dd0ccbffe39d0	19	19	I
expr-a966b57803832d2f	1	1	!E \in L_1(\Lang{L})
expr-a98a37ed74a37a4b	2	2	n^*
expr-ab9aa52b0f2801a8	2	2	I_n(\mathbf{a}, \mathbf{b})
expr-af35f011a762cdb7	2	2	\Lang{L} \subseteq \Lang{L'}
expr-b17fdb0aa1876209	8	8	\Struct{M}^*
expr-b1fe6500b48a240c	2	2	\Struct{N} \not\models_L !E
expr-b3a37c7732864b53	1	1	\Struct{M} \not\models_L !E
expr-b3b4cd7340bd3361	1	1	\Mod[L'](L){!F} = \Setabs{\Struct{M}}{\Expan{M}{a} \in \Mod[L](L){!E} \text{ for some } a \in \Domain{M}},
expr-b4ae0048e5796391	8	8	\Struct{M} \models_L !E
expr-b4eb094698264199	1	1	!E' \in L(\Lang{L}')
expr-b50bb8940da5b931	64	65	\Lang{L}
expr-b69ae00edefffd3c	2	2	\tuple{F, \models}
expr-b8bd1433379cc157	1	1	!D_{\Struct{M}}
expr-be42cb77e83a154e	1	1	\Atom{R}{x, c_1, \dots c_n}
expr-bf390920f1a8f8a2	3	3	\Struct{M} \equiv_n \Struct{N}
expr-bfd8bc2e94e3db57	1	1	\Struct{N}_0
expr-c02a58a890c84f29	1	1	I_n(\emptyset,\emptyset)
expr-c2369011362bae02	1	1	\Struct{M^*}
expr-c8f62efc59874339	1	1	\Atom{R}{x, c_1, \dots, c_n}
expr-ca08f4e1e8dd9675	1	1	\Mod(L){!G} = \Mod(L){!E} \cap \Mod(L){!F}
expr-ca1c4f6f4b7553ad	1	1	\Struct{N} \equiv_n \Struct{M}
expr-ca5f50f43fe02d8d	1	1	\Struct{M}'
expr-ca978112ca1bbdca	123	123	a
expr-cb623a763c50ee14	2	2	\Struct{M_{n^*}}
expr-cec4b8919e5f12a5	13	13	P'
expr-d055ee4dbcdd0c8b	392	469	!B
expr-d28b557f0867e38d	3	3	\Domain{N}^{<\omega}
expr-d2911734c8e8bb2a	1	1	n^* - k >0
