expression_id	physical_unique_source_occurrences	canonical_projected_occurrences	normalized_tex
expr-01208e159d2aec8c	58	66	\land
expr-01c5295d1833f904	1	2	\sFmla{\False}{(\lnot !A \land \lnot !B) \lif\lnot(!A \lor !B)}
expr-024e4037f78e16e4	2	2	!A(s_2)
expr-043a718774c572bd	214	211	s
expr-051fc065c374eff3	1	2	\sFmla{\True}{!B_n}
expr-06288c2639f1fe13	1	2	\Gamma \cup \{\sFmla{\False}{!B}\}
expr-095efa74a5a00b7a	3	3	\Sat{M}{!A(t_2)}[s]
expr-0cb8d71b76036003	1	1	\sFmla{\False}{\lforall[x][!B(x)]} \in \Gamma
expr-0e79a8c9536ed34f	1	1	\sFmla{\False}{\lexists[x][(!A(x) \land \lforall[y][(!A(y) \lif y = x)])]}
expr-0feeab53510b9b84	5	4	\Sat{M}{!A(t)}
expr-103a70f95de7fcff	0	1	\Sat{M}{!B_i}
expr-10e072fde0c2a074	14	14	\Subst{!A}{t}{x}
expr-120a8d5540bd6b37	5	5	\Gamma \Proves !A(c)
expr-129d54955107e62c	1	2	\sFmla{\True}{!A \lif (!B \lif !C)}, \sFmla{\False}{!B \lif (!A \lif !C)}
expr-13068b6c2dfe8ad1	3	4	\sFmla{\False}{!B \lor !C} \in \Gamma
expr-13c5965b9c68ba24	2	2	\sFmla{\True}{!A(s_2)}
expr-158469c1c5770e77	1	2	\{\sFmla{\True}{!A}, \sFmla{\True}{!B}, \sFmla{\False}{!A \land !B}\}
expr-15ff16882d1cf584	1	2	!A \lor !C
expr-16f5cf58fe6d00ef	1	2	\Delta_0 = \{!C_1, \dots, !C_n\} \subseteq \Delta
expr-17eec4d68e472988	1	1	\sFmla{\False}{\lnot\lexists[x][!A(x)] \lif \lforall[x][\lnot !A(x)]}
expr-18069020c5e029eb	6	10	\TRule{\False}{\lor}
expr-1887d00b8b2298fe	1	1	\sFmla{\False}{\lexists[x][!B(x)]} \in \Gamma
